,mean,std,min,max
C_total,85154369.05383226,29612523.737401616,39095987.06509802,123479448.72543643
C_op,60200181.90586485,30189492.121656112,27357790.50491397,110159775.13841908
personal,34551936.826852456,17866975.21389287,14792353.681044454,63789058.86841844
energia,3023957.1891113664,1617391.8307726104,1224562.4765994565,6552467.901239464
aprov,2261938.39714944,1227840.4483114844,791145.1740208229,4748714.52924928
serv_ext,18117832.567285758,9370032.683939049,7745460.082300445,33400743.370946947
amort,2244516.9254658385,353820.50617416453,1529569.2898550725,3005850.086956522
renting,5246319.513046774,3487045.1717834016,1131209.782936894,12457751.493108576
canon,19707867.63492063,32657489.19607783,0.0,84718539.69853772
pax,65798606.47619048,41649520.19578411,11039400.0,126387074.0
coches_km,13937563.61106281,7208349.988262253,6078367.165757725,26211739.478433315
w_labor,60092.13073397185,930.3525983028385,59107.83551494196,61298.33765586035
w_energy,0.08643879410384622,0.007110147228077369,0.0815323263798965,0.0962517295517456
